,speed,gust,visibility,ceiling,cover,precipitation,obscuration,thunderstorms,snow,clouds,reason,fuel,holding_flights
280,5.14,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,182.7122969631949,1.0
281,1.03,0.0,8000.0,305.0,6.0,False,False,False,False,False,,268.4523721523685,2.0
282,0.51,0.0,2000.0,183.0,8.0,True,True,False,False,False,,121.03115169787084,2.0
283,2.57,0.0,9999.0,274.0,6.0,True,False,False,False,False,,212.56696243199505,1.0
284,1.03,0.0,2500.0,1067.0,6.0,True,True,False,False,False,,92.3675916558595,1.0
285,1.54,0.0,9999.0,3048.0,4.0,False,False,False,False,False,,666.8222761192984,7.0
286,4.12,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,223.29104296247536,1.0
287,6.17,0.0,9999.0,3048.0,2.0,False,False,False,False,False,,216.08705416994172,1.0
288,2.57,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,156.78679905861256,1.0
289,2.57,0.0,9999.0,1524.0,6.0,False,False,False,False,False,,951.447362551496,9.0
290,2.57,0.0,9000.0,213.0,6.0,True,False,False,False,False,,2607.601281694182,6.0
291,0.51,0.0,3000.0,1067.0,6.0,True,True,False,False,False,,78.26927335751358,1.0
292,3.09,0.0,7000.0,152.0,6.0,True,False,False,False,False,Other,721.7943148043305,3.0
293,3.6,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,6.289699993157703,1.0
